order_id,order_status,status_changed_at,employee_id
ORD-0009,在庫確認,2024-07-17 21:39:56,EMP-003
ORD-0009,ピッキング,2024-07-18 00:42:38,EMP-003
ORD-0009,梱包,2024-07-18 02:00:58,EMP-003
ORD-0009,出荷完了,2024-07-18 02:38:58,EMP-004
ORD-0009,配送完了,2024-07-21 02:38:58,EMP-005
ORD-0010,受注登録,2024-03-21 14:00:00,EMP-001
ORD-0010,入金確認,2024-03-21 15:55:50,SYSTEM
ORD-0010,在庫確認,2024-03-21 16:20:29,EMP-003
ORD-0010,ピッキング,2024-03-21 17:52:38,EMP-003
ORD-0010,梱包,2024-03-21 19:44:46,EMP-003
ORD-0010,出荷完了,2024-03-21 20:40:53,EMP-004
ORD-0010,配送完了,2024-03-23 20:40:53,EMP-005
ORD-0011,受注登録,2024-04-11 04:23:00,EMP-001
ORD-0011,入金確認,2024-04-11 06:01:37,SYSTEM
ORD-0011,在庫確認,2024-04-11 06:51:00,EMP-003
ORD-0011,ピッキング,2024-04-11 07:51:06,EMP-003
ORD-0011,梱包,2024-04-11 08:50:16,EMP-003
ORD-0011,出荷完了,2024-04-11 09:20:51,EMP-004
ORD-0011,配送完了,2024-04-13 09:20:51,EMP-005
ORD-0012,受注登録,2024-05-02 01:15:00,EMP-001
ORD-0012,入金確認,2024-05-02 03:04:01,SYSTEM
ORD-0012,在庫確認,2024-05-02 03:20:07,EMP-003
ORD-0012,ピッキング,2024-05-02 04:32:35,EMP-003
ORD-0012,梱包,2024-05-02 06:11:02,EMP-003
ORD-0012,出荷完了,2024-05-02 07:04:01,EMP-004
ORD-0012,配送完了,2024-05-03 07:04:01,EMP-005
ORD-0013,受注登録,2024-03-25 08:33:00,EMP-001
ORD-0013,入金確認,2024-03-25 10:21:31,SYSTEM
ORD-0013,在庫確認,2024-03-25 10:43:41,EMP-003
ORD-0013,ピッキング,2024-03-25 13:55:04,EMP-003
ORD-0013,梱包,2024-03-25 14:43:10,EMP-003
ORD-0013,出荷完了,2024-03-25 15:22:31,EMP-004
ORD-0013,配送完了,2024-03-28 15:22:31,EMP-005
ORD-0014,受注登録,2024-08-19 03:15:00,EMP-001
ORD-0014,入金確認,2024-08-19 04:05:13,SYSTEM
ORD-0014,在庫確認,2024-08-19 04:45:27,EMP-003
ORD-0014,ピッキング,2024-08-19 06:25:06,EMP-003
ORD-0014,梱包,2024-08-19 07:01:29,EMP-003
ORD-0014,出荷完了,2024-08-19 07:50:25,EMP-004
ORD-0014,配送完了,2024-08-20 07:50:25,EMP-005
ORD-0015,受注登録,2024-02-06 16:15:00,EMP-001
ORD-0015,入金確認,2024-02-06 17:10:03,SYSTEM
ORD-0015,在庫確認,2024-02-06 17:47:56,EMP-003
ORD-0015,ピッキング,2024-02-06 21:26:46,EMP-003
ORD-0015,梱包,2024-02-06 22:48:38,EMP-003
ORD-0015,出荷完了,2024-02-06 23:25:55,EMP-004
ORD-0015,配送完了,2024-02-08 23:25:55,EMP-005
ORD-0016,受注登録,2024-02-19 21:27:00,EMP-001
ORD-0016,入金確認,2024-02-19 22:28:53,SYSTEM
ORD-0016,在庫確認,2024-02-19 23:22:21,EMP-003
ORD-0016,ピッキング,2024-02-20 02:19:58,EMP-003
ORD-0016,梱包,2024-02-20 03:48:07,EMP-003
ORD-0016,出荷完了,2024-02-20 04:19:56,EMP-004
ORD-0016,配送完了,2024-02-23 04:19:56,EMP-005
ORD-0017,受注登録,2024-05-07 06:12:00,EMP-001
ORD-0017,入金確認,2024-05-07 07:30:15,SYSTEM
ORD-0017,在庫確認,2024-05-07 07:51:04,EMP-003
ORD-0017,ピッキング,2024-05-07 11:28:28,EMP-003
ORD-0017,梱包,2024-05-07 12:05:15,EMP-003
ORD-0017,出荷完了,2024-05-07 12:59:30,EMP-004
ORD-0017,配送完了,2024-05-10 12:59:30,EMP-005
ORD-0018,受注登録,2024-01-08 02:59:00,EMP-001
ORD-0018,入金確認,2024-01-08 04:36:49,SYSTEM
ORD-0018,在庫確認,2024-01-08 05:08:19,EMP-003
ORD-0018,ピッキング,2024-01-08 08:43:57,EMP-003
ORD-0018,梱包,2024-01-08 10:35:11,EMP-003
ORD-0018,出荷完了,2024-01-08 11:10:07,EMP-004
ORD-0018,配送完了,2024-01-09 11:10:07,EMP-005
ORD-0019,受注登録,2024-05-26 13:44:00,EMP-001
ORD-0019,入金確認,2024-05-26 15:40:09,SYSTEM
ORD-0019,在庫確認,2024-05-26 16:18:50,EMP-003
ORD-0019,ピッキング,2024-05-26 17:46:41,EMP-003
ORD-0019,梱包,2024-05-26 18:43:24,EMP-003
ORD-0019,出荷完了,2024-05-26 19:42:27,EMP-004
ORD-0019,配送完了,2024-05-29 19:42:27,EMP-005
ORD-0020,受注登録,2024-06-09 01:03:00,EMP-001
ORD-0020,入金確認,2024-06-09 02:25:34,SYSTEM
ORD-0020,在庫確認,2024-06-09 03:18:30,EMP-003
ORD-0020,ピッキング,2024-06-09 07:11:26,EMP-003
ORD-0020,梱包,2024-06-09 07:48:39,EMP-003
ORD-0020,出荷完了,2024-06-09 08:24:13,EMP-004
ORD-0020,配送完了,2024-06-12 08:24:13,EMP-005
ORD-0021,受注登録,2024-07-25 03:56:00,EMP-001
ORD-0021,入金確認,2024-07-25 05:17:16,SYSTEM
ORD-0021,在庫確認,2024-07-25 05:31:10,EMP-003
ORD-0021,ピッキング,2024-07-25 08:29:30,EMP-003
ORD-0021,梱包,2024-07-25 09:50:22,EMP-003
ORD-0021,出荷完了,2024-07-25 10:29:52,EMP-004
ORD-0021,配送完了,2024-07-27 10:29:52,EMP-005
ORD-0022,受注登録,2024-05-02 08:25:00,EMP-001
ORD-0022,入金確認,2024-05-02 09:06:46,SYSTEM
ORD-0022,在庫確認,2024-05-02 09:40:43,EMP-003
ORD-0022,ピッキング,2024-05-02 13:29:09,EMP-003
ORD-0022,梱包,2024-05-02 13:59:59,EMP-003
ORD-0022,出荷完了,2024-05-02 14:48:37,EMP-004
ORD-0022,配送完了,2024-05-05 14:48:37,EMP-005
ORD-0023,受注登録,2024-09-16 08:08:00,EMP-001
ORD-0023,入金確認,2024-09-16 10:01:59,SYSTEM
ORD-0023,在庫確認,2024-09-16 10:56:11,EMP-003
ORD-0023,ピッキング,2024-09-16 12:24:35,EMP-003
ORD-0023,梱包,2024-09-16 14:09:37,EMP-003
ORD-0023,出荷完了,2024-09-16 15:00:44,EMP-004
ORD-0023,配送完了,2024-09-19 15:00:44,EMP-005
ORD-0024,受注登録,2024-12-07 17:19:00,EMP-001
ORD-0024,入金確認,2024-12-07 19:12:51,SYSTEM
ORD-0024,在庫確認,2024-12-07 20:07:00,EMP-003
ORD-0024,ピッキング,2024-12-07 23:47:09,EMP-003
ORD-0024,梱包,2024-12-08 01:23:58,EMP-003
ORD-0024,出荷完了,2024-12-08 01:58:38,EMP-004
ORD-0024,配送完了,2024-12-10 01:58:38,EMP-005
ORD-0025,受注登録,2024-04-14 21:40:00,EMP-001
ORD-0025,入金確認,2024-04-14 23:26:45,SYSTEM
ORD-0025,在庫確認,2024-04-14 23:50:48,EMP-003
ORD-0025,ピッキング,2024-04-15 00:59:57,EMP-003
ORD-0025,梱包,2024-04-15 02:27:02,EMP-003
ORD-0025,出荷完了,2024-04-15 03:21:55,EMP-004
ORD-0025,配送完了,2024-04-16 03:21:55,EMP-005
ORD-0026,受注登録,2024-11-22 08:10:00,EMP-001
ORD-0026,入金確認,2024-11-22 09:46:42,SYSTEM
ORD-0026,在庫不足,2024-11-22 10:19:14,EMP-003
ORD-0026,在庫確認,2024-11-25 10:19:14,EMP-003
ORD-0026,ピッキング,2024-11-25 14:09:20,EMP-003
ORD-0026,梱包,2024-11-25 15:41:32,EMP-003
ORD-0026,出荷完了,2024-11-25 16:16:00,EMP-004
ORD-0026,配送完了,2024-11-26 16:16:00,EMP-005
ORD-0027,受注登録,2024-03-16 13:08:00,EMP-001
ORD-0027,入金確認,2024-03-16 13:41:45,SYSTEM
ORD-0027,在庫確認,2024-03-16 14:38:33,EMP-003
ORD-0027,ピッキング,2024-03-16 15:45:44,EMP-003
ORD-0027,梱包,2024-03-16 16:47:56,EMP-003
ORD-0027,出荷完了,2024-03-16 17:38:23,EMP-004
ORD-0027,配送完了,2024-03-19 17:38:23,EMP-005
ORD-0028,受注登録,2024-07-27 19:47:00,EMP-001
ORD-0028,入金確認,2024-07-27 20:30:54,SYSTEM
ORD-0028,在庫確認,2024-07-27 21:24:24,EMP-003
ORD-0028,ピッキング,2024-07-28 00:50:20,EMP-003
ORD-0028,梱包,2024-07-28 02:39:40,EMP-003
ORD-0028,出荷完了,2024-07-28 03:10:25,EMP-004
ORD-0028,配送完了,2024-07-31 03:10:25,EMP-005
ORD-0029,受注登録,2024-12-08 23:51:00,EMP-001
ORD-0029,入金確認,2024-12-09 00:43:20,SYSTEM
ORD-0029,在庫確認,2024-12-09 01:28:59,EMP-003
ORD-0029,ピッキング,2024-12-09 02:35:58,EMP-003
ORD-0029,梱包,2024-12-09 03:48:19,EMP-003
ORD-0029,出荷完了,2024-12-09 04:24:18,EMP-004
ORD-0029,配送完了,2024-12-11 04:24:18,EMP-005
ORD-0030,受注登録,2024-04-24 00:42:00,EMP-001
ORD-0030,入金確認,2024-04-24 01:29:22,SYSTEM
ORD-0030,在庫確認,2024-04-24 02:22:52,EMP-003
ORD-0030,ピッキング,2024-04-24 04:13:06,EMP-003
ORD-0030,梱包,2024-04-24 05:40:50,EMP-003
ORD-0030,出荷完了,2024-04-24 06:22:50,EMP-004
ORD-0030,配送完了,2024-04-27 06:22:50,EMP-005
ORD-0031,受注登録,2024-05-13 05:37:00,EMP-001
ORD-0031,入金確認,2024-05-13 07:33:37,SYSTEM
ORD-0031,在庫確認,2024-05-13 07:50:49,EMP-003
ORD-0031,ピッキング,2024-05-13 11:01:58,EMP-003
ORD-0031,梱包,2024-05-13 12:00:12,EMP-003
ORD-0031,出荷完了,2024-05-13 12:48:23,EMP-004
ORD-0031,配送完了,2024-05-16 12:48:23,EMP-005
ORD-0032,受注登録,2024-04-07 08:02:00,EMP-001
ORD-0032,入金エラー,2024-04-07 09:35:47,SYSTEM
ORD-0032,入金確認,2024-04-08 08:06:28,SYSTEM
ORD-0032,在庫確認,2024-04-08 08:44:19,EMP-003
ORD-0032,ピッキング,2024-04-08 11:57:52,EMP-003
ORD-0032,梱包,2024-04-08 13:28:14,EMP-003
ORD-0032,出荷完了,2024-04-08 14:09:09,EMP-004
ORD-0032,配送完了,2024-04-09 14:09:09,EMP-005
ORD-0033,受注登録,2024-06-09 21:54:00,EMP-001
ORD-0033,入金確認,2024-06-09 22:35:12,SYSTEM
ORD-0033,在庫確認,2024-06-09 23:11:33,EMP-003
ORD-0033,ピッキング,2024-06-10 01:10:16,EMP-003
ORD-0033,梱包,2024-06-10 02:43:01,EMP-003
ORD-0033,出荷完了,2024-06-10 03:29:39,EMP-004
ORD-0033,配送完了,2024-06-11 03:29:39,EMP-005
ORD-0034,受注登録,2024-12-12 23:57:00,EMP-001
ORD-0034,入金確認,2024-12-13 00:42:39,SYSTEM
ORD-0034,在庫確認,2024-12-13 01:14:09,EMP-003
ORD-0034,ピッキング,2024-12-13 03:08:51,EMP-003
ORD-0034,梱包,2024-12-13 03:57:46,EMP-003
ORD-0034,出荷完了,2024-12-13 04:51:20,EMP-004
ORD-0034,配送完了,2024-12-16 04:51:20,EMP-005
ORD-0035,受注登録,2024-08-14 21:13:00,EMP-001
ORD-0035,入金確認,2024-08-14 22:29:00,SYSTEM
ORD-0035,在庫確認,2024-08-14 23:27:04,EMP-003
ORD-0035,ピッキング,2024-08-15 02:25:40,EMP-003
ORD-0035,梱包,2024-08-15 03:21:12,EMP-003
ORD-0035,出荷完了,2024-08-15 04:11:07,EMP-004
ORD-0035,配送完了,2024-08-18 04:11:07,EMP-005
ORD-0036,受注登録,2024-04-30 21:19:00,EMP-001
ORD-0036,入金確認,2024-04-30 22:09:13,SYSTEM
ORD-0036,在庫確認,2024-04-30 22:22:23,EMP-003
ORD-0036,ピッキング,2024-05-01 00:47:54,EMP-003
ORD-0036,梱包,2024-05-01 02:34:23,EMP-003
ORD-0036,出荷完了,2024-05-01 03:06:34,EMP-004
ORD-0036,配送完了,2024-05-03 03:06:34,EMP-005
ORD-0037,受注登録,2024-12-22 12:31:00,EMP-001
ORD-0037,入金確認,2024-12-22 13:36:58,SYSTEM
ORD-0037,在庫確認,2024-12-22 14:21:58,EMP-003
ORD-0037,ピッキング,2024-12-22 17:56:51,EMP-003
ORD-0037,梱包,2024-12-22 19:46:32,EMP-003
ORD-0037,出荷完了,2024-12-22 20:39:53,EMP-004
ORD-0037,配送完了,2024-12-23 20:39:53,EMP-005
ORD-0038,受注登録,2024-09-22 14:03:00,EMP-001
ORD-0038,入金確認,2024-09-22 15:23:09,SYSTEM
ORD-0038,在庫確認,2024-09-22 15:40:59,EMP-003
ORD-0038,ピッキング,2024-09-22 18:04:37,EMP-003
ORD-0038,梱包,2024-09-22 19:22:25,EMP-003
ORD-0038,出荷完了,2024-09-22 20:09:11,EMP-004
ORD-0038,配送完了,2024-09-24 20:09:11,EMP-005
ORD-0039,受注登録,2024-09-15 13:53:00,EMP-001
ORD-0039,入金確認,2024-09-15 15:44:37,SYSTEM
ORD-0039,在庫確認,2024-09-15 16:04:15,EMP-003
ORD-0039,ピッキング,2024-09-15 18:25:16,EMP-003
ORD-0039,梱包,2024-09-15 20:02:55,EMP-003
ORD-0039,出荷完了,2024-09-15 20:58:07,EMP-004
ORD-0039,配送完了,2024-09-17 20:58:07,EMP-005
ORD-0040,受注登録,2024-11-16 07:17:00,EMP-001
ORD-0040,入金確認,2024-11-16 08:26:35,SYSTEM
ORD-0040,在庫確認,2024-11-16 08:49:50,EMP-003
ORD-0040,ピッキング,2024-11-16 12:30:35,EMP-003
ORD-0040,梱包,2024-11-16 13:07:50,EMP-003
ORD-0040,出荷完了,2024-11-16 13:42:21,EMP-004
ORD-0040,配送完了,2024-11-18 13:42:21,EMP-005
ORD-0041,受注登録,2024-02-02 13:26:00,EMP-001
ORD-0041,入金確認,2024-02-02 14:25:46,SYSTEM
ORD-0041,在庫確認,2024-02-02 14:40:46,EMP-003
ORD-0041,ピッキング,2024-02-02 16:50:52,EMP-003
ORD-0041,梱包,2024-02-02 18:30:09,EMP-003
ORD-0041,出荷完了,2024-02-02 19:28:32,EMP-004
ORD-0041,配送完了,2024-02-03 19:28:32,EMP-005
ORD-0042,受注登録,2024-07-13 15:00:00,EMP-001
ORD-0042,入金確認,2024-07-13 16:54:50,SYSTEM
ORD-0042,在庫確認,2024-07-13 17:25:33,EMP-003
ORD-0042,ピッキング,2024-07-13 20:55:59,EMP-003
ORD-0042,梱包,2024-07-13 22:14:26,EMP-003
ORD-0042,出荷完了,2024-07-13 23:06:28,EMP-004
ORD-0042,配送完了,2024-07-16 23:06:28,EMP-005
ORD-0043,受注登録,2024-05-19 13:31:00,EMP-001
ORD-0043,入金確認,2024-05-19 14:03:36,SYSTEM
ORD-0043,在庫確認,2024-05-19 14:48:12,EMP-003
ORD-0043,ピッキング,2024-05-19 16:17:55,EMP-003
ORD-0043,梱包,2024-05-19 17:29:59,EMP-003
ORD-0043,出荷完了,2024-05-19 18:03:48,EMP-004
ORD-0043,配送完了,2024-05-22 18:03:48,EMP-005
ORD-0044,受注登録,2024-10-30 18:42:00,EMP-001
ORD-0044,入金確認,2024-10-30 19:14:26,SYSTEM
ORD-0044,在庫確認,2024-10-30 19:32:57,EMP-003
ORD-0044,ピッキング,2024-10-30 20:42:00,EMP-003
ORD-0044,梱包,2024-10-30 21:46:07,EMP-003
ORD-0044,出荷完了,2024-10-30 22:22:28,EMP-004
ORD-0044,配送完了,2024-11-01 22:22:28,EMP-005
ORD-0045,受注登録,2024-05-22 13:16:00,EMP-001
ORD-0045,入金確認,2024-05-22 15:01:08,SYSTEM
ORD-0045,在庫確認,2024-05-22 15:49:05,EMP-003
ORD-0045,ピッキング,2024-05-22 19:40:26,EMP-003
ORD-0045,梱包,2024-05-22 20:30:37,EMP-003
ORD-0045,出荷完了,2024-05-22 21:02:40,EMP-004
ORD-0045,配送完了,2024-05-25 21:02:40,EMP-005
ORD-0046,受注登録,2024-04-12 00:39:00,EMP-001
ORD-0046,入金確認,2024-04-12 01:22:42,SYSTEM
ORD-0046,在庫確認,2024-04-12 02:06:50,EMP-003
ORD-0046,ピッキング,2024-04-12 03:46:04,EMP-003
ORD-0046,梱包,2024-04-12 05:19:02,EMP-003
ORD-0046,出荷完了,2024-04-12 06:12:02,EMP-004
ORD-0046,配送完了,2024-04-13 06:12:02,EMP-005
ORD-0047,受注登録,2024-02-28 05:19:00,EMP-001
ORD-0047,入金エラー,2024-02-28 05:58:43,SYSTEM
ORD-0047,入金確認,2024-02-28 16:13:04,SYSTEM
ORD-0047,在庫確認,2024-02-28 16:57:35,EMP-003
ORD-0047,ピッキング,2024-02-28 19:08:59,EMP-003
ORD-0047,梱包,2024-02-28 20:43:20,EMP-003
ORD-0047,出荷完了,2024-02-28 21:15:37,EMP-004
ORD-0047,配送完了,2024-03-02 21:15:37,EMP-005
ORD-0048,受注登録,2024-12-22 09:54:00,EMP-001
ORD-0048,入金確認,2024-12-22 11:25:34,SYSTEM
ORD-0048,在庫確認,2024-12-22 12:15:48,EMP-003
ORD-0048,ピッキング,2024-12-22 13:23:11,EMP-003
ORD-0048,梱包,2024-12-22 14:41:08,EMP-003
ORD-0048,出荷完了,2024-12-22 15:30:59,EMP-004
ORD-0048,配送完了,2024-12-23 15:30:59,EMP-005
ORD-0049,受注登録,2024-08-03 15:06:00,EMP-001
ORD-0049,入金確認,2024-08-03 16:15:01,SYSTEM
ORD-0049,在庫確認,2024-08-03 17:09:48,EMP-003
ORD-0049,ピッキング,2024-08-03 18:37:21,EMP-003
ORD-0049,梱包,2024-08-03 19:23:12,EMP-003
ORD-0049,出荷完了,2024-08-03 20:08:51,EMP-004
ORD-0049,配送完了,2024-08-06 20:08:51,EMP-005
ORD-0050,受注登録,2024-09-04 14:27:00,EMP-001
ORD-0050,入金確認,2024-09-04 16:11:18,SYSTEM
ORD-0050,在庫確認,2024-09-04 16:38:47,EMP-003
ORD-0050,ピッキング,2024-09-04 20:27:01,EMP-003
ORD-0050,梱包,2024-09-04 21:22:07,EMP-003
ORD-0050,出荷完了,2024-09-04 22:05:38,EMP-004
ORD-0050,配送完了,2024-09-06 22:05:38,EMP-005
