process_type,case_id,activity,event_time,employee_id
itsm,INC-0025,解決策適用,2024-10-06 05:10:59,EMP-013
itsm,INC-0025,検証,2024-10-06 07:00:01,EMP-020
itsm,INC-0025,クローズ,2024-10-06 10:36:51,SYSTEM
itsm,INC-0026,インシデント報告,2024-10-10 04:17:00,SYSTEM
itsm,INC-0026,サポート割当,2024-10-10 04:55:39,EMP-014
itsm,INC-0026,初期調査,2024-10-10 07:13:18,EMP-013
itsm,INC-0026,エスカレーション,2024-10-10 10:07:27,EMP-014
itsm,INC-0026,解決策適用,2024-10-10 17:55:55,EMP-013
itsm,INC-0026,検証,2024-10-10 19:09:53,EMP-020
itsm,INC-0026,クローズ,2024-10-10 22:37:34,SYSTEM
itsm,INC-0027,インシデント報告,2024-02-17 20:27:00,SYSTEM
itsm,INC-0027,サポート割当,2024-02-17 20:35:22,EMP-014
itsm,INC-0027,初期調査,2024-02-17 21:55:24,EMP-013
itsm,INC-0027,エスカレーション,2024-02-18 01:51:46,EMP-014
itsm,INC-0027,解決策適用,2024-02-18 07:25:03,EMP-013
itsm,INC-0027,検証,2024-02-18 08:34:49,EMP-020
itsm,INC-0027,クローズ,2024-02-18 11:02:37,SYSTEM
itsm,INC-0028,インシデント報告,2024-02-27 02:56:00,SYSTEM
itsm,INC-0028,サポート割当,2024-02-27 03:31:27,EMP-014
itsm,INC-0028,初期調査,2024-02-27 06:06:39,EMP-013
itsm,INC-0028,解決策適用,2024-02-27 11:22:08,EMP-013
itsm,INC-0028,検証,2024-02-27 12:03:36,EMP-020
itsm,INC-0028,クローズ,2024-02-27 15:42:23,SYSTEM
itsm,INC-0029,インシデント報告,2024-01-21 11:13:00,SYSTEM
itsm,INC-0029,サポート割当,2024-01-21 11:55:00,EMP-014
itsm,INC-0029,初期調査,2024-01-21 13:18:03,EMP-013
itsm,INC-0029,解決策適用,2024-01-22 10:32:41,EMP-013
itsm,INC-0029,検証,2024-01-22 12:30:19,EMP-020
itsm,INC-0029,クローズ,2024-01-22 16:14:44,SYSTEM
itsm,INC-0030,インシデント報告,2024-05-01 05:51:00,SYSTEM
itsm,INC-0030,サポート割当,2024-05-01 06:44:35,EMP-014
itsm,INC-0030,初期調査,2024-05-01 07:18:18,EMP-013
itsm,INC-0030,解決策適用,2024-05-01 16:36:47,EMP-013
itsm,INC-0030,検証,2024-05-01 18:30:34,EMP-020
itsm,INC-0030,クローズ,2024-05-01 22:02:01,SYSTEM
itsm,INC-0031,インシデント報告,2024-05-07 08:10:00,SYSTEM
itsm,INC-0031,サポート割当,2024-05-07 08:36:39,EMP-014
itsm,INC-0031,初期調査,2024-05-07 09:12:27,EMP-013
itsm,INC-0031,解決策適用,2024-05-07 15:35:54,EMP-013
itsm,INC-0031,検証,2024-05-07 17:28:33,EMP-020
itsm,INC-0031,クローズ,2024-05-07 20:50:52,SYSTEM
itsm,INC-0032,インシデント報告,2024-04-26 07:01:00,SYSTEM
itsm,INC-0032,サポート割当,2024-04-26 07:28:31,EMP-014
itsm,INC-0032,初期調査,2024-04-26 08:40:18,EMP-013
itsm,INC-0032,エスカレーション,2024-04-26 11:59:30,EMP-014
itsm,INC-0032,解決策適用,2024-04-26 21:43:01,EMP-013
itsm,INC-0032,検証,2024-04-26 22:58:51,EMP-020
itsm,INC-0032,クローズ,2024-04-27 02:26:02,SYSTEM
itsm,INC-0033,インシデント報告,2024-06-18 00:07:00,SYSTEM
itsm,INC-0033,サポート割当,2024-06-18 00:22:38,EMP-014
itsm,INC-0033,初期調査,2024-06-18 03:17:01,EMP-013
itsm,INC-0033,エスカレーション,2024-06-18 04:36:32,EMP-014
itsm,INC-0033,解決策適用,2024-06-18 16:10:09,EMP-013
itsm,INC-0033,検証,2024-06-18 17:45:43,EMP-020
itsm,INC-0033,クローズ,2024-06-18 20:23:01,SYSTEM
itsm,INC-0034,インシデント報告,2024-09-18 03:24:00,SYSTEM
itsm,INC-0034,サポート割当,2024-09-18 03:43:45,EMP-014
itsm,INC-0034,初期調査,2024-09-18 06:00:04,EMP-013
itsm,INC-0034,エスカレーション,2024-09-18 09:46:40,EMP-014
itsm,INC-0034,解決策適用,2024-09-18 23:37:25,EMP-013
itsm,INC-0034,検証,2024-09-19 01:12:10,EMP-020
itsm,INC-0034,クローズ,2024-09-19 04:03:00,SYSTEM
itsm,INC-0035,インシデント報告,2024-07-05 13:04:00,SYSTEM
itsm,INC-0035,サポート割当,2024-07-05 13:43:39,EMP-014
itsm,INC-0035,初期調査,2024-07-05 15:53:09,EMP-013
itsm,INC-0035,エスカレーション,2024-07-05 19:35:10,EMP-014
itsm,INC-0035,解決策適用,2024-07-06 08:44:34,EMP-013
itsm,INC-0035,検証,2024-07-06 10:14:35,EMP-020
itsm,INC-0035,クローズ,2024-07-06 13:11:00,SYSTEM
itsm,INC-0036,インシデント報告,2024-10-10 04:12:00,SYSTEM
itsm,INC-0036,サポート割当,2024-10-10 04:53:54,EMP-014
itsm,INC-0036,初期調査,2024-10-10 06:20:46,EMP-013
itsm,INC-0036,解決策適用,2024-10-10 12:10:29,EMP-013
itsm,INC-0036,検証,2024-10-10 13:31:42,EMP-020
itsm,INC-0036,クローズ,2024-10-10 16:56:47,SYSTEM
itsm,INC-0037,インシデント報告,2024-06-04 09:13:00,SYSTEM
itsm,INC-0037,サポート割当,2024-06-04 10:01:25,EMP-014
itsm,INC-0037,初期調査,2024-06-04 12:02:25,EMP-013
itsm,INC-0037,解決策適用,2024-06-04 23:45:35,EMP-013
itsm,INC-0037,検証,2024-06-05 01:16:23,EMP-020
itsm,INC-0037,クローズ,2024-06-05 04:33:04,SYSTEM
itsm,INC-0038,インシデント報告,2024-03-27 21:05:00,SYSTEM
itsm,INC-0038,サポート割当,2024-03-27 21:38:50,EMP-014
itsm,INC-0038,初期調査,2024-03-27 23:43:46,EMP-013
itsm,INC-0038,解決策適用,2024-03-28 19:44:05,EMP-013
itsm,INC-0038,検証,2024-03-28 21:21:41,EMP-020
itsm,INC-0038,クローズ,2024-03-28 22:38:52,SYSTEM
itsm,INC-0039,インシデント報告,2024-04-11 04:01:00,SYSTEM
itsm,INC-0039,サポート割当,2024-04-11 04:20:13,EMP-014
itsm,INC-0039,初期調査,2024-04-11 06:01:29,EMP-013
itsm,INC-0039,解決策適用,2024-04-11 09:37:37,EMP-013
itsm,INC-0039,検証,2024-04-11 10:44:55,EMP-020
itsm,INC-0039,クローズ,2024-04-11 11:55:45,SYSTEM
itsm,INC-0040,インシデント報告,2024-12-22 12:31:00,SYSTEM
itsm,INC-0040,サポート割当,2024-12-22 12:50:10,EMP-014
itsm,INC-0040,初期調査,2024-12-22 14:58:35,EMP-013
itsm,INC-0040,エスカレーション,2024-12-22 18:13:45,EMP-014
itsm,INC-0040,解決策適用,2024-12-23 13:10:13,EMP-013
itsm,INC-0040,検証,2024-12-23 13:49:48,EMP-020
itsm,INC-0040,クローズ,2024-12-23 14:56:44,SYSTEM
itsm,INC-0041,インシデント報告,2024-12-22 16:29:00,SYSTEM
itsm,INC-0041,サポート割当,2024-12-22 17:05:05,EMP-014
itsm,INC-0041,初期調査,2024-12-22 19:52:43,EMP-013
itsm,INC-0041,エスカレーション,2024-12-22 21:16:43,EMP-014
itsm,INC-0041,解決策適用,2024-12-23 09:30:03,EMP-013
itsm,INC-0041,検証,2024-12-23 10:47:51,EMP-020
itsm,INC-0041,クローズ,2024-12-23 12:24:29,SYSTEM
itsm,INC-0042,インシデント報告,2024-08-14 19:52:00,SYSTEM
itsm,INC-0042,サポート割当,2024-08-14 20:42:51,EMP-014
itsm,INC-0042,初期調査,2024-08-14 22:35:01,EMP-013
itsm,INC-0042,解決策適用,2024-08-15 16:56:39,EMP-013
itsm,INC-0042,検証,2024-08-15 18:09:22,EMP-020
itsm,INC-0042,クローズ,2024-08-15 19:31:17,SYSTEM
itsm,INC-0043,インシデント報告,2024-11-22 08:49:00,SYSTEM
itsm,INC-0043,サポート割当,2024-11-22 09:28:50,EMP-014
itsm,INC-0043,初期調査,2024-11-22 10:40:02,EMP-013
itsm,INC-0043,エスカレーション,2024-11-22 12:31:27,EMP-014
itsm,INC-0043,解決策適用,2024-11-22 20:30:07,EMP-013
itsm,INC-0043,検証,2024-11-22 21:28:54,EMP-020
itsm,INC-0043,クローズ,2024-11-22 22:27:57,SYSTEM
itsm,INC-0044,インシデント報告,2024-04-28 12:44:00,SYSTEM
itsm,INC-0044,サポート割当,2024-04-28 13:28:08,EMP-014
itsm,INC-0044,初期調査,2024-04-28 14:07:46,EMP-013
itsm,INC-0044,解決策適用,2024-04-29 04:04:01,EMP-013
itsm,INC-0044,検証,2024-04-29 05:11:26,EMP-020
itsm,INC-0044,クローズ,2024-04-29 07:09:40,SYSTEM
itsm,INC-0045,インシデント報告,2024-10-26 22:01:00,SYSTEM
itsm,INC-0045,サポート割当,2024-10-26 22:32:45,EMP-014
itsm,INC-0045,初期調査,2024-10-27 01:24:10,EMP-013
itsm,INC-0045,エスカレーション,2024-10-27 03:34:21,EMP-014
itsm,INC-0045,解決策適用,2024-10-28 01:11:19,EMP-013
itsm,INC-0045,検証,2024-10-28 02:56:32,EMP-020
itsm,INC-0045,クローズ,2024-10-28 06:00:49,SYSTEM
itsm,INC-0046,インシデント報告,2024-11-04 07:31:00,SYSTEM
itsm,INC-0046,サポート割当,2024-11-04 07:51:44,EMP-014
itsm,INC-0046,初期調査,2024-11-04 09:34:35,EMP-013
itsm,INC-0046,解決策適用,2024-11-05 02:17:29,EMP-013
itsm,INC-0046,検証,2024-11-05 03:59:19,EMP-020
itsm,INC-0046,クローズ,2024-11-05 07:25:50,SYSTEM
itsm,INC-0047,インシデント報告,2024-03-06 19:34:00,SYSTEM
itsm,INC-0047,サポート割当,2024-03-06 20:28:58,EMP-014
itsm,INC-0047,初期調査,2024-03-06 22:27:45,EMP-013
itsm,INC-0047,解決策適用,2024-03-07 02:18:34,EMP-013
itsm,INC-0047,検証,2024-03-07 03:27:08,EMP-020
itsm,INC-0047,クローズ,2024-03-07 04:35:18,SYSTEM
itsm,INC-0048,インシデント報告,2024-05-13 12:20:00,SYSTEM
itsm,INC-0048,サポート割当,2024-05-13 12:50:33,EMP-014
itsm,INC-0048,初期調査,2024-05-13 14:11:10,EMP-013
itsm,INC-0048,解決策適用,2024-05-13 22:18:28,EMP-013
itsm,INC-0048,検証,2024-05-14 00:14:05,EMP-020
itsm,INC-0048,クローズ,2024-05-14 03:39:25,SYSTEM
itsm,INC-0049,インシデント報告,2024-08-28 00:47:00,SYSTEM
itsm,INC-0049,サポート割当,2024-08-28 01:46:59,EMP-014
itsm,INC-0049,初期調査,2024-08-28 03:09:29,EMP-013
itsm,INC-0049,解決策適用,2024-08-28 22:20:43,EMP-013
itsm,INC-0049,検証,2024-08-28 23:49:22,EMP-020
itsm,INC-0049,クローズ,2024-08-29 03:38:47,SYSTEM
itsm,INC-0050,インシデント報告,2024-04-12 00:39:00,SYSTEM
itsm,INC-0050,サポート割当,2024-04-12 00:57:52,EMP-014
itsm,INC-0050,初期調査,2024-04-12 02:38:54,EMP-013
itsm,INC-0050,エスカレーション,2024-04-12 06:29:30,EMP-014
itsm,INC-0050,解決策適用,2024-04-12 18:43:21,EMP-013
itsm,INC-0050,検証,2024-04-12 19:36:25,EMP-020
itsm,INC-0050,クローズ,2024-04-12 22:13:39,SYSTEM
itsm,INC-0051,インシデント報告,2024-02-28 05:19:00,SYSTEM
itsm,INC-0051,サポート割当,2024-02-28 05:56:14,EMP-014
itsm,INC-0051,初期調査,2024-02-28 08:45:34,EMP-013
itsm,INC-0051,解決策適用,2024-02-29 06:44:10,EMP-013
itsm,INC-0051,検証,2024-02-29 07:47:57,EMP-020
itsm,INC-0051,クローズ,2024-02-29 08:59:36,SYSTEM
itsm,INC-0052,インシデント報告,2024-10-30 22:53:00,SYSTEM
itsm,INC-0052,サポート割当,2024-10-30 23:04:30,EMP-014
itsm,INC-0052,初期調査,2024-10-31 01:30:22,EMP-013
itsm,INC-0052,解決策適用,2024-10-31 16:42:55,EMP-013
itsm,INC-0052,検証,2024-10-31 17:23:48,EMP-020
itsm,INC-0052,クローズ,2024-10-31 20:38:09,SYSTEM
itsm,INC-0053,インシデント報告,2024-06-26 17:27:00,SYSTEM
itsm,INC-0053,サポート割当,2024-06-26 17:36:43,EMP-014
itsm,INC-0053,初期調査,2024-06-26 19:43:51,EMP-013
itsm,INC-0053,エスカレーション,2024-06-26 21:59:27,EMP-014
itsm,INC-0053,解決策適用,2024-06-27 10:46:31,EMP-013
itsm,INC-0053,検証,2024-06-27 11:55:32,EMP-020
itsm,INC-0053,クローズ,2024-06-27 15:32:46,SYSTEM
itsm,INC-0054,インシデント報告,2024-08-23 22:09:00,SYSTEM
itsm,INC-0054,サポート割当,2024-08-23 22:24:30,EMP-014
itsm,INC-0054,初期調査,2024-08-24 00:12:46,EMP-013
itsm,INC-0054,解決策適用,2024-08-24 15:45:46,EMP-013
itsm,INC-0054,検証,2024-08-24 17:38:32,EMP-020
itsm,INC-0054,クローズ,2024-08-24 19:46:10,SYSTEM
itsm,INC-0055,インシデント報告,2024-10-30 08:20:00,SYSTEM
itsm,INC-0055,サポート割当,2024-10-30 09:10:51,EMP-014
itsm,INC-0055,初期調査,2024-10-30 09:53:51,EMP-013
itsm,INC-0055,解決策適用,2024-10-30 17:15:45,EMP-013
itsm,INC-0055,検証,2024-10-30 18:27:34,EMP-020
itsm,INC-0055,クローズ,2024-10-30 20:17:10,SYSTEM
itsm,INC-0056,インシデント報告,2024-01-15 15:54:00,SYSTEM
itsm,INC-0056,サポート割当,2024-01-15 16:09:49,EMP-014
itsm,INC-0056,初期調査,2024-01-15 17:11:38,EMP-013
itsm,INC-0056,解決策適用,2024-01-16 02:40:53,EMP-013
itsm,INC-0056,検証,2024-01-16 04:30:06,EMP-020
itsm,INC-0056,クローズ,2024-01-16 05:58:07,SYSTEM
itsm,INC-0057,インシデント報告,2024-01-06 16:12:00,SYSTEM
itsm,INC-0057,サポート割当,2024-01-06 16:31:01,EMP-014
itsm,INC-0057,初期調査,2024-01-06 18:01:59,EMP-013
itsm,INC-0057,解決策適用,2024-01-07 01:19:13,EMP-013
itsm,INC-0057,検証,2024-01-07 02:32:04,EMP-020
itsm,INC-0057,クローズ,2024-01-07 04:36:11,SYSTEM
itsm,INC-0058,インシデント報告,2024-01-09 02:18:00,SYSTEM
itsm,INC-0058,サポート割当,2024-01-09 02:45:50,EMP-014
itsm,INC-0058,初期調査,2024-01-09 03:52:20,EMP-013
itsm,INC-0058,解決策適用,2024-01-09 13:59:26,EMP-013
itsm,INC-0058,検証,2024-01-09 15:19:15,EMP-020
itsm,INC-0058,クローズ,2024-01-09 19:18:32,SYSTEM
itsm,INC-0059,インシデント報告,2024-10-08 10:22:00,SYSTEM
itsm,INC-0059,サポート割当,2024-10-08 10:42:37,EMP-014
itsm,INC-0059,初期調査,2024-10-08 11:50:20,EMP-013
itsm,INC-0059,エスカレーション,2024-10-08 13:25:00,EMP-014
itsm,INC-0059,解決策適用,2024-10-08 18:02:49,EMP-013
itsm,INC-0059,検証,2024-10-08 19:21:02,EMP-020
itsm,INC-0059,クローズ,2024-10-08 20:29:55,SYSTEM
itsm,INC-0060,インシデント報告,2024-04-20 23:30:00,SYSTEM
itsm,INC-0060,サポート割当,2024-04-21 00:15:07,EMP-014
itsm,INC-0060,初期調査,2024-04-21 03:11:37,EMP-013
itsm,INC-0060,解決策適用,2024-04-21 11:25:10,EMP-013
itsm,INC-0060,検証,2024-04-21 12:04:13,EMP-020
itsm,INC-0060,クローズ,2024-04-21 13:21:59,SYSTEM
itsm,INC-0061,インシデント報告,2024-04-01 09:00:00,SYSTEM
itsm,INC-0061,サポート割当,2024-04-01 09:20:48,EMP-014
itsm,INC-0061,初期調査,2024-04-01 12:16:57,EMP-013
itsm,INC-0061,解決策適用,2024-04-02 05:37:32,EMP-013
itsm,INC-0061,検証,2024-04-02 06:18:54,EMP-020
itsm,INC-0061,クローズ,2024-04-02 08:31:59,SYSTEM
itsm,INC-0062,インシデント報告,2024-01-07 18:18:00,SYSTEM
